Year,Qualité de l'eau,Catégorie d'utilisation des sols,Géographie,Value
2016-2018,Excellente,Agriculture,Canada,0
2016-2018,Bonne,Agriculture,Canada,6
2016-2018,Excellente,Foresterie,Canada,1
2016-2018,Bonne,Foresterie,Canada,6
2016-2018,Excellente,Exploitation minière,Canada,0
2016-2018,Bonne,Exploitation minière,Canada,2
2016-2018,Excellente,Peuplé,Canada,0
2016-2018,Bonne,Peuplé,Canada,0
2016-2018,Excellente,Pressions mixtes,Canada,2
2016-2018,Bonne,Pressions mixtes,Canada,13
2016-2018,Excellente,Non aménagés,Canada,3
2016-2018,Bonne,Non aménagés,Canada,7
2016-2018,Excellente,Total,Canada,5
2016-2018,Bonne,Total,Canada,35
2016-2018,Excellente,Total,Océan Atlantique,4
2016-2018,Bonne,Total,Océan Atlantique,53
2016-2018,Excellente,Total,Grands Lacs et fleuve Saint-Laurent,0
2016-2018,Bonne,Total,Grands Lacs et fleuve Saint-Laurent,29
2016-2018,Excellente,Total,Baie d'Hudson,11
2016-2018,Bonne,Total,Baie d'Hudson,31
2016-2018,Excellente,Total,Fleuve Mackenzie,15
2016-2018,Bonne,Total,Fleuve Mackenzie,35
2016-2018,Excellente,Total,Océan Pacifique,8
2016-2018,Bonne,Total,Océan Pacifique,28
2016-2018,Excellente,Agriculture,Océan Atlantique,0
2016-2018,Bonne,Agriculture,Océan Atlantique,7
2016-2018,Excellente,Foresterie,Océan Atlantique,2
2016-2018,Bonne,Foresterie,Océan Atlantique,18
2016-2018,Excellente,Exploitation minière,Océan Atlantique,0
2016-2018,Bonne,Exploitation minière,Océan Atlantique,2
2016-2018,Excellente,Peuplé,Océan Atlantique,0
2016-2018,Bonne,Peuplé,Océan Atlantique,0
2016-2018,Excellente,Pressions mixtes,Océan Atlantique,0
2016-2018,Bonne,Pressions mixtes,Océan Atlantique,9
2016-2018,Excellente,Non aménagés,Océan Atlantique,2
2016-2018,Bonne,Non aménagés,Océan Atlantique,18
2016-2018,Excellente,Agriculture,Grands Lacs et fleuve Saint-Laurent,0
2016-2018,Bonne,Agriculture,Grands Lacs et fleuve Saint-Laurent,5
2016-2018,Excellente,Foresterie,Grands Lacs et fleuve Saint-Laurent,0
2016-2018,Bonne,Foresterie,Grands Lacs et fleuve Saint-Laurent,2
2016-2018,Excellente,Exploitation minière,Grands Lacs et fleuve Saint-Laurent,0
2016-2018,Bonne,Exploitation minière,Grands Lacs et fleuve Saint-Laurent,5
2016-2018,Excellente,Peuplé,Grands Lacs et fleuve Saint-Laurent,0
2016-2018,Bonne,Peuplé,Grands Lacs et fleuve Saint-Laurent,0
2016-2018,Excellente,Pressions mixtes,Grands Lacs et fleuve Saint-Laurent,0
2016-2018,Bonne,Pressions mixtes,Grands Lacs et fleuve Saint-Laurent,10
2016-2018,Excellente,Non aménagés,Grands Lacs et fleuve Saint-Laurent,0
2016-2018,Bonne,Non aménagés,Grands Lacs et fleuve Saint-Laurent,7
2016-2018,Excellente,Agriculture,Baie d'Hudson,0
2016-2018,Bonne,Agriculture,Baie d'Hudson,11
2016-2018,Excellente,Foresterie,Baie d'Hudson,0
2016-2018,Bonne,Foresterie,Baie d'Hudson,0
2016-2018,Excellente,Exploitation minière,Baie d'Hudson,0
2016-2018,Bonne,Exploitation minière,Baie d'Hudson,0
2016-2018,Excellente,Peuplé,Baie d'Hudson,0
2016-2018,Bonne,Peuplé,Baie d'Hudson,0
2016-2018,Excellente,Pressions mixtes,Baie d'Hudson,7
2016-2018,Bonne,Pressions mixtes,Baie d'Hudson,20
2016-2018,Excellente,Non aménagés,Baie d'Hudson,4
2016-2018,Bonne,Non aménagés,Baie d'Hudson,0
2016-2018,Excellente,Agriculture,Fleuve Mackenzie,0
2016-2018,Bonne,Agriculture,Fleuve Mackenzie,0
2016-2018,Excellente,Foresterie,Fleuve Mackenzie,0
2016-2018,Bonne,Foresterie,Fleuve Mackenzie,0
2016-2018,Excellente,Exploitation minière,Fleuve Mackenzie,0
2016-2018,Bonne,Exploitation minière,Fleuve Mackenzie,10
2016-2018,Excellente,Peuplé,Fleuve Mackenzie,0
2016-2018,Bonne,Peuplé,Fleuve Mackenzie,0
2016-2018,Excellente,Pressions mixtes,Fleuve Mackenzie,5
2016-2018,Bonne,Pressions mixtes,Fleuve Mackenzie,10
2016-2018,Excellente,Non aménagés,Fleuve Mackenzie,10
2016-2018,Bonne,Non aménagés,Fleuve Mackenzie,15
2016-2018,Excellente,Agriculture,Océan Pacifique,0
2016-2018,Bonne,Agriculture,Océan Pacifique,0
2016-2018,Excellente,Foresterie,Océan Pacifique,0
2016-2018,Bonne,Foresterie,Océan Pacifique,8
2016-2018,Excellente,Exploitation minière,Océan Pacifique,0
2016-2018,Bonne,Exploitation minière,Océan Pacifique,8
2016-2018,Excellente,Peuplé,Océan Pacifique,0
2016-2018,Bonne,Peuplé,Océan Pacifique,0
2016-2018,Excellente,Pressions mixtes,Océan Pacifique,0
2016-2018,Bonne,Pressions mixtes,Océan Pacifique,8
2016-2018,Excellente,Non aménagés,Océan Pacifique,8
2016-2018,Bonne,Non aménagés,Océan Pacifique,4
2017-2019,Excellente,Agriculture,Canada,0
2017-2019,Bonne,Agriculture,Canada,9
2017-2019,Excellente,Foresterie,Canada,1
2017-2019,Bonne,Foresterie,Canada,5
2017-2019,Excellente,Exploitation minière,Canada,0
2017-2019,Bonne,Exploitation minière,Canada,2
2017-2019,Excellente,Peuplé,Canada,0
2017-2019,Bonne,Peuplé,Canada,0
2017-2019,Excellente,Pressions mixtes,Canada,2
2017-2019,Bonne,Pressions mixtes,Canada,10
2017-2019,Excellente,Non aménagés,Canada,2
2017-2019,Bonne,Non aménagés,Canada,8
2017-2019,Excellente,Total,Canada,6
2017-2019,Bonne,Total,Canada,35
2017-2019,Excellente,Agriculture,Océan Atlantique,0
2017-2019,Bonne,Agriculture,Océan Atlantique,9
2017-2019,Excellente,Foresterie,Océan Atlantique,4
2017-2019,Bonne,Foresterie,Océan Atlantique,13
2017-2019,Excellente,Exploitation minière,Océan Atlantique,0
2017-2019,Bonne,Exploitation minière,Océan Atlantique,2
2017-2019,Excellente,Peuplé,Océan Atlantique,0
2017-2019,Bonne,Peuplé,Océan Atlantique,0
2017-2019,Excellente,Pressions mixtes,Océan Atlantique,0
2017-2019,Bonne,Pressions mixtes,Océan Atlantique,7
2017-2019,Excellente,Non aménagés,Océan Atlantique,0
2017-2019,Bonne,Non aménagés,Océan Atlantique,20
2017-2019,Excellente,Total,Océan Atlantique,4
2017-2019,Bonne,Total,Océan Atlantique,51
2017-2019,Excellente,Agriculture,Grands Lacs et fleuve Saint-Laurent,0
2017-2019,Bonne,Agriculture,Grands Lacs et fleuve Saint-Laurent,7
2017-2019,Excellente,Foresterie,Grands Lacs et fleuve Saint-Laurent,0
2017-2019,Bonne,Foresterie,Grands Lacs et fleuve Saint-Laurent,2
2017-2019,Excellente,Exploitation minière,Grands Lacs et fleuve Saint-Laurent,0
2017-2019,Bonne,Exploitation minière,Grands Lacs et fleuve Saint-Laurent,3
