Value,en,fr,Disaggregation combinations using this value,Number of indicators
All genders,All genders,Toutes les identités de genre,41,1
Female gender,Female gender,Genre féminin,733,2
Female,Female,Femme,67,2
Male gender,Male gender,Genre masculin,657,2
Male,Male,Homme,67,2
Men+,Men+,Hommes+,4465,7
Men,Men,Hommes,1208,3
"Total, all persons","Total, all persons","Total, toutes les personnes",214,1
Total - Gender,Total - Gender,Total - Genre,1776,3
"Total, gender","Total, gender","Total, genre",3113,3
Total,Total,Total,1498,4
Women+,Women+,Femmes+,4461,7
Women,Women,Femmes,1240,3
