Value,en,fr,Disaggregation combinations using this value,Number of indicators
All materials diverted,All materials diverted,Toutes les matières,11,1
All organic materials,All organic materials,Toutes les matières organiques,34,1
All paper fibres,All paper fibres,Toutes les fibres cellulosiques,36,1
"Construction, renovation and demolition","Construction, renovation and demolition","Déchets provenant de la construction, de la rénovation et de la démolition",34,1
Copper and aluminum,Copper and aluminum,Cuivre et aluminium,36,1
Electronics,Electronics,Matériel électronique,12,1
Ferrous metals,Ferrous metals,Métaux ferreux,34,1
Food waste and source separated organics,Food waste and source separated organics,Déchets de nourriture et matières organiques séparées à la source,28,1
Gable top and aseptic containers,Gable top and aseptic containers,Récipients triangulaires et aseptiques,30,1
Glass,Glass,Verre,31,1
Leaf and yard waste,Leaf and yard waste,Feuilles et résidus de jardin,27,1
Mixed metals,Mixed metals,Métaux mélangés,30,1
Other materials,Other materials,Autres matières,36,1
Other organic materials,Other organic materials,Autres matières organiques,27,1
Plastics,Plastics,Matières plastiques,36,1
Textiles,Textiles,Textiles,32,1
Tires,Tires,Pneus,12,1
White goods,White goods,Électroménagers,32,1
