Year,Geography,Type of materials diverted,Sources of materials prepared for recycling,GeoCode,Value
2018,,,,,257.635662113981
2020,,,,,260.40972069523
2022,,,,,254.142450659731
2023,,,,,245.710663873295
2018,Canada,All materials diverted,Residential sources of diverted materials,,
2018,Canada,All materials diverted,Non-residential sources of diverted materials,,
2018,Canada,All paper fibres,All sources of diverted materials,,94.9403899697405
2018,Canada,All paper fibres,Residential sources of diverted materials,,41.4607599894477
2018,Canada,All paper fibres,Non-residential sources of diverted materials,,53.4796299802927
2018,Canada,Glass,All sources of diverted materials,,10.7068505004502
2018,Canada,Glass,Residential sources of diverted materials,,8.03967995787727
2018,Canada,Glass,Non-residential sources of diverted materials,,2.66717054257293
2018,Canada,Ferrous metals,All sources of diverted materials,,16.8551885461562
2018,Canada,Ferrous metals,Residential sources of diverted materials,,3.09827036772691
2018,Canada,Ferrous metals,Non-residential sources of diverted materials,,13.7569181784293
2018,Canada,Copper and aluminum,All sources of diverted materials,,3.56225160239551
2018,Canada,Copper and aluminum,Residential sources of diverted materials,,1.09824986742237
2018,Canada,Copper and aluminum,Non-residential sources of diverted materials,,2.46400173497314
2018,Canada,Mixed metals,All sources of diverted materials,,3.15561727226185
2018,Canada,Mixed metals,Residential sources of diverted materials,,1.61472267134074
2018,Canada,Mixed metals,Non-residential sources of diverted materials,,1.54089460092111
2018,Canada,White goods,All sources of diverted materials,,1.71174845478955
2018,Canada,White goods,Residential sources of diverted materials,,1.04128060007628
2018,Canada,White goods,Non-residential sources of diverted materials,,0.670467854713263
2018,Canada,Electronics,All sources of diverted materials,,2.83956191928167
2018,Canada,Electronics,Residential sources of diverted materials,,
2018,Canada,Electronics,Non-residential sources of diverted materials,,
2018,Canada,Plastics,All sources of diverted materials,,9.56390457431927
2018,Canada,Plastics,Residential sources of diverted materials,,6.75223385884246
2018,Canada,Plastics,Non-residential sources of diverted materials,,2.81167071547681
2018,Canada,Gable top and aseptic containers,All sources of diverted materials,,0.680367343878043
2018,Canada,Gable top and aseptic containers,Residential sources of diverted materials,,0.598959555596556
2018,Canada,Gable top and aseptic containers,Non-residential sources of diverted materials,,0.0814077882814864
2018,Canada,Textiles,All sources of diverted materials,,1.58863873122536
2018,Canada,Textiles,Residential sources of diverted materials,,1.57547537778555
2018,Canada,Textiles,Non-residential sources of diverted materials,,0.0131633534398162
2018,Canada,Tires,All sources of diverted materials,,13.1607639276641
2018,Canada,Tires,Residential sources of diverted materials,,
2018,Canada,Tires,Non-residential sources of diverted materials,,
2018,Canada,"Construction, renovation and demolition",All sources of diverted materials,,19.4874546228456
2018,Canada,"Construction, renovation and demolition",Residential sources of diverted materials,,3.17285371252423
2018,Canada,"Construction, renovation and demolition",Non-residential sources of diverted materials,,16.3146009103214
2018,Canada,All organic materials,All sources of diverted materials,,77.6573115145355
2018,Canada,All organic materials,Residential sources of diverted materials,,61.4735079419798
