Year,Value,Units,Series
2015,0.5,Indice,Indice d’orientation agricole des dépenses publiques
2016,0.58,Indice,Indice d’orientation agricole des dépenses publiques
2017,0.52,Indice,Indice d’orientation agricole des dépenses publiques
2018,0.63,Indice,Indice d’orientation agricole des dépenses publiques
2019,0.69,Indice,Indice d’orientation agricole des dépenses publiques
2020,0.46,Indice,Indice d’orientation agricole des dépenses publiques
2021,0.9,Indice,Indice d’orientation agricole des dépenses publiques
2022,0.7,Indice,Indice d’orientation agricole des dépenses publiques
2023,0.79,Indice,Indice d’orientation agricole des dépenses publiques
2024,0.66,Indice,Indice d’orientation agricole des dépenses publiques
2024,1.81,Pourcentage (%),Part de la valeur ajoutée de l’agriculture dans le PIB (%)
2023,1.78,Pourcentage (%),Part de la valeur ajoutée de l’agriculture dans le PIB (%)
2022,1.76,Pourcentage (%),Part de la valeur ajoutée de l’agriculture dans le PIB (%)
2021,1.75,Pourcentage (%),Part de la valeur ajoutée de l’agriculture dans le PIB (%)
2015,1.87,Pourcentage (%),Part de la valeur ajoutée de l’agriculture dans le PIB (%)
2020,1.84,Pourcentage (%),Part de la valeur ajoutée de l’agriculture dans le PIB (%)
2016,1.86,Pourcentage (%),Part de la valeur ajoutée de l’agriculture dans le PIB (%)
2017,1.89,Pourcentage (%),Part de la valeur ajoutée de l’agriculture dans le PIB (%)
2019,1.7,Pourcentage (%),Part de la valeur ajoutée de l’agriculture dans le PIB (%)
2018,1.7,Pourcentage (%),Part de la valeur ajoutée de l’agriculture dans le PIB (%)
2015,0.93,Pourcentage (%),Part de l’agriculture dans les dépenses publiques (%)
2016,1.08,Pourcentage (%),Part de l’agriculture dans les dépenses publiques (%)
2017,0.99,Pourcentage (%),Part de l’agriculture dans les dépenses publiques (%)
2018,1.08,Pourcentage (%),Part de l’agriculture dans les dépenses publiques (%)
2019,1.17,Pourcentage (%),Part de l’agriculture dans les dépenses publiques (%)
2020,0.85,Pourcentage (%),Part de l’agriculture dans les dépenses publiques (%)
2021,1.57,Pourcentage (%),Part de l’agriculture dans les dépenses publiques (%)
2022,1.24,Pourcentage (%),Part de l’agriculture dans les dépenses publiques (%)
2023,1.41,Pourcentage (%),Part de l’agriculture dans les dépenses publiques (%)
2024,1.19,Pourcentage (%),Part de l’agriculture dans les dépenses publiques (%)
