Year,Value,Units,Series
2015,4.0,Score,Score de statut actuel
2016,4.17,Score,Score de statut actuel
2017,4.17,Score,Score de statut actuel
2018,4.17,Score,Score de statut actuel
2019,4.17,Score,Score de statut actuel
2020,4.17,Score,Score de statut actuel
2021,3.83,Score,Score de statut actuel
2022,4.17,Score,Score de statut actuel
2023,4.17,Score,Score de statut actuel
2015,4.0,Score,Score de tendance
2016,4.67,Score,Score de tendance
2017,4.67,Score,Score de tendance
2018,4.67,Score,Score de tendance
2019,4.67,Score,Score de tendance
2020,4.67,Score,Score de tendance
2021,3.83,Score,Score de tendance
2022,4.67,Score,Score de tendance
2023,4.67,Score,Score de tendance
