Year,Series,Units,Value
2016,Current score,Score,4.0
2015,Trend score,Score,4.0
2020,Trend score,Score,4.67
2024,Trend score,Score,4.33
2022,Trend score,Score,4.67
2021,Trend score,Score,3.83
2023,Trend score,Score,4.5
2019,Trend score,Score,4.67
2017,Trend score,Score,4.67
2018,Trend score,Score,4.67
2016,Trend score,Score,4.67
2023,Current score,Score,3.83
2015,Current score,Score,3.83
2024,Current score,Score,3.83
2019,Current score,Score,4.17
2018,Current score,Score,4.17
2020,Current score,Score,4.17
2021,Current score,Score,3.83
2022,Current score,Score,4.17
2017,Current score,Score,4.17
