Year,Series,Units,Sex,Value
2016,Children in Grade 4 achieving at least a minimum proficiency level in reading,Percentage (%),Total,95.74
2016,Children in Grade 4 achieving at least a minimum proficiency level in reading,Percentage (%),Male,95.27
2016,Children in Grade 4 achieving at least a minimum proficiency level in reading,Percentage (%),Female,96.32
2015,Children in Grade 4 achieving at least a minimum proficiency level in mathematics,Percentage (%),Total,92.3
2019,Children in Grade 4 achieving at least a minimum proficiency level in mathematics,Percentage (%),Total,92.0
2019,Children in Grade 4 achieving at least a minimum proficiency level in mathematics,Percentage (%),Male,94.0
2019,Children in Grade 4 achieving at least a minimum proficiency level in mathematics,Percentage (%),Female,91.0
2023,Children in Grade 4 achieving at least a minimum proficiency level in mathematics,Percentage (%),Total,90.0
2015,Young people aged 15 years achieving at least a minimum proficiency level in reading,Percentage (%),Total,89.32
2015,Young people aged 15 years achieving at least a minimum proficiency level in reading,Percentage (%),Female,92.48
2015,Young people aged 15 years achieving at least a minimum proficiency level in reading,Percentage (%),Male,86.14
2018,Young people aged 15 years achieving at least a minimum proficiency level in reading,Percentage (%),Total,86.25
2018,Young people aged 15 years achieving at least a minimum proficiency level in reading,Percentage (%),Female,90.39
2018,Young people aged 15 years achieving at least a minimum proficiency level in reading,Percentage (%),Male,82.17
2022,Young people aged 15 years achieving at least a minimum proficiency level in reading,Percentage (%),Total,81.85
2022,Young people aged 15 years achieving at least a minimum proficiency level in reading,Percentage (%),Female,85.59
2022,Young people aged 15 years achieving at least a minimum proficiency level in reading,Percentage (%),Male,78.24
2015,Young people aged 15 years achieving at least a minimum proficiency level in mathematics,Percentage (%),Total,85.64
2015,Young people aged 15 years achieving at least a minimum proficiency level in mathematics,Percentage (%),Female,85.3
2015,Young people aged 15 years achieving at least a minimum proficiency level in mathematics,Percentage (%),Male,85.97
2018,Young people aged 15 years achieving at least a minimum proficiency level in mathematics,Percentage (%),Total,83.74
2018,Young people aged 15 years achieving at least a minimum proficiency level in mathematics,Percentage (%),Female,83.88
2018,Young people aged 15 years achieving at least a minimum proficiency level in mathematics,Percentage (%),Male,83.6
2022,Young people aged 15 years achieving at least a minimum proficiency level in mathematics,Percentage (%),Total,78.37
2022,Young people aged 15 years achieving at least a minimum proficiency level in mathematics,Percentage (%),Female,78.03
2022,Young people aged 15 years achieving at least a minimum proficiency level in mathematics,Percentage (%),Male,78.73
