Year,Géographie,Progress,GeoCode,Value
2015,Alberta,145528943.88,48,-4.24
2016,Alberta,144634945.18,48,-0.61
2017,Alberta,149772809.23,48,3.55
2018,Alberta,148714517.62,48,-0.71
2019,Alberta,147161570.16,48,-1.04
2020,Alberta,146331945.16,48,-0.56
2021,Alberta,146518990.16,48,0.13
2022,Alberta,147867147.71,48,0.92
2023,Alberta,146160648.49,48,-1.15
2024,Alberta,145983961.25,48,-0.12
2015,Colombie-Britannique,111378105.26,59,0.11
2016,Colombie-Britannique,110325394.57,59,-0.95
2017,Colombie-Britannique,110142026.61,59,-0.17
2018,Colombie-Britannique,111951415.76,59,1.64
2019,Colombie-Britannique,111841035.4,59,-0.1
2020,Colombie-Britannique,114974478.69,59,2.8
2021,Colombie-Britannique,116606803.53,59,1.42
2022,Colombie-Britannique,118201174.48,59,1.37
2023,Colombie-Britannique,118411109.94,59,0.18
2024,Colombie-Britannique,117025394.65,59,-1.17
2015,,115149911.52,,-0.02
2016,,115635418.46,,0.42
2017,,116515224.09,,0.76
2018,,117571231.54,,0.91
2019,,117526847.33,,-0.04
2020,,117796607.36,,0.23
2021,,118911996.88,,0.95
2022,,119605055.85,,0.58
2023,,118371215.85,,-1.03
2024,,118487735.46,,0.1
2015,Manitoba,106649945.13,46,-0.31
2016,Manitoba,108177115.99,46,1.43
2017,Manitoba,109872071.52,46,1.57
2018,Manitoba,111150550.8,46,1.16
2019,Manitoba,111101874.24,46,-0.04
2020,Manitoba,110907803.65,46,-0.17
2021,Manitoba,107677710.84,46,-2.91
2022,Manitoba,108963512.14,46,1.19
2023,Manitoba,108991228.07,46,0.03
2024,Manitoba,108099116.51,46,-0.82
2015,Nouveau-Brunswick,97769946.43,13,1.42
2016,Nouveau-Brunswick,97760067.11,13,-0.01
2017,Nouveau-Brunswick,99688369.5,13,1.97
2018,Nouveau-Brunswick,100633509.31,13,0.95
2019,Nouveau-Brunswick,101476361.63,13,0.84
2020,Nouveau-Brunswick,100691322.9,13,-0.77
2021,Nouveau-Brunswick,102224355.46,13,1.52
2022,Nouveau-Brunswick,101429712.46,13,-0.78
2023,Nouveau-Brunswick,99961399.9,13,-1.45
2024,Nouveau-Brunswick,99705000.0,13,-0.26
2015,Terre-Neuve-et-Labrador,136230737.19,10,-1.25
2016,Terre-Neuve-et-Labrador,141220757.12,10,3.66
2017,Terre-Neuve-et-Labrador,148540564.37,10,5.18
2018,Terre-Neuve-et-Labrador,144017543.86,10,-3.04
2019,Terre-Neuve-et-Labrador,147674016.43,10,2.54
2020,Terre-Neuve-et-Labrador,149618039.58,10,1.32
2021,Terre-Neuve-et-Labrador,145872945.36,10,-2.5
2022,Terre-Neuve-et-Labrador,138719043.55,10,-4.9
2023,Terre-Neuve-et-Labrador,132236676.46,10,-4.67
2024,Terre-Neuve-et-Labrador,132040816.33,10,-0.15
2015,Nouvelle-Écosse,94361054.77,12,1.4
2016,Nouvelle-Écosse,96245756.96,12,2.0
2017,Nouvelle-Écosse,97378597.12,12,1.18
2018,Nouvelle-Écosse,97710042.12,12,0.34
2019,Nouvelle-Écosse,98288055.2,12,0.59
2020,Nouvelle-Écosse,97300983.9,12,-1.0
2021,Nouvelle-Écosse,97350157.73,12,0.05
2022,Nouvelle-Écosse,98888437.31,12,1.58
2023,Nouvelle-Écosse,98592915.1,12,-0.3
2024,Nouvelle-Écosse,98557452.52,12,-0.04
2015,Ontario,114512655.37,35,1.87
2016,Ontario,115706251.35,35,1.04
2017,Ontario,116043858.66,35,0.29
2018,Ontario,117677062.04,35,1.41
2019,Ontario,117334916.16,35,-0.29
2020,Ontario,117878439.39,35,0.46
2021,Ontario,118929883.32,35,0.89
2022,Ontario,118422998.16,35,-0.43
2023,Ontario,117603702.18,35,-0.69
2024,Ontario,117478793.53,35,-0.11
2015,Île-du-Prince-Édouard,87359009.63,11,2.24
2016,Île-du-Prince-Édouard,89972260.75,11,2.99
2017,Île-du-Prince-Édouard,91522911.05,11,1.72
2018,Île-du-Prince-Édouard,90749014.45,11,-0.85
2019,Île-du-Prince-Édouard,92471190.78,11,1.9
2020,Île-du-Prince-Édouard,91902887.14,11,-0.61
2021,Île-du-Prince-Édouard,94400000.0,11,2.72
2022,Île-du-Prince-Édouard,94411414.98,11,0.01
2023,Île-du-Prince-Édouard,91534154.54,11,-3.05
2024,Île-du-Prince-Édouard,91697297.3,11,0.18
2015,Québec,99114525.35,24,0.35
2016,Québec,100166354.96,24,1.06
2017,Québec,100519795.44,24,0.35
2018,Québec,101396116.14,24,0.87
2019,Québec,102884682.46,24,1.47
2020,Québec,103105810.4,24,0.21
2021,Québec,106060584.73,24,2.87
2022,Québec,107574908.93,24,1.43
2023,Québec,105231493.76,24,-2.18
2024,Québec,106014892.69,24,0.74
2015,Saskatchewan,138449160.04,47,-0.32
2016,Saskatchewan,139426127.25,47,0.71
2017,Saskatchewan,142679111.11,47,2.33
2018,Saskatchewan,144355980.18,47,1.18
2019,Saskatchewan,141376849.43,47,-2.06
2020,Saskatchewan,142602237.3,47,0.87
2021,Saskatchewan,135629589.83,47,-4.89
2022,Saskatchewan,144286950.5,47,6.38
2023,Saskatchewan,146403747.87,47,1.47
2024,Saskatchewan,146961142.48,47,0.38
