Year,Quintile de revenu du ménage,Décile de revenu du ménage,Géographie,Series,GeoCode,Value
2010-2015,Tous les quintiles,,Canada,Dépenses des ménages par habitant,,1.307
2010-2015,Quintile inférieur,,Canada,Dépenses des ménages par habitant,,1.846
2010-2015,Deuxième quintile,,Canada,Dépenses des ménages par habitant,,1.434
2010-2015,Tous les quintiles,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,3.696
2010-2015,Quintile inférieur,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,2.873
2010-2015,Deuxième quintile,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,2.754
2010-2015,Tous les quintiles,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,1.686
2010-2015,Quintile inférieur,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,0.403
2010-2015,Deuxième quintile,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,1.013
2010-2015,Tous les quintiles,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,2.608
2010-2015,Quintile inférieur,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,2.301
2010-2015,Deuxième quintile,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,1.55
2010-2015,Tous les quintiles,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,1.378
2010-2015,Quintile inférieur,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,1.621
2010-2015,Deuxième quintile,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,0.495
2010-2015,Tous les quintiles,,Québec,Dépenses des ménages par habitant,24,0.386
2010-2015,Quintile inférieur,,Québec,Dépenses des ménages par habitant,24,0.765
2010-2015,Deuxième quintile,,Québec,Dépenses des ménages par habitant,24,-0.186
2010-2015,Tous les quintiles,,Ontario,Dépenses des ménages par habitant,35,1.424
2010-2015,Quintile inférieur,,Ontario,Dépenses des ménages par habitant,35,4.778
2010-2015,Deuxième quintile,,Ontario,Dépenses des ménages par habitant,35,2.092
2010-2015,Tous les quintiles,,Manitoba,Dépenses des ménages par habitant,46,1.134
2010-2015,Quintile inférieur,,Manitoba,Dépenses des ménages par habitant,46,-0.647
2010-2015,Deuxième quintile,,Manitoba,Dépenses des ménages par habitant,46,2.809
2010-2015,Tous les quintiles,,Saskatchewan,Dépenses des ménages par habitant,47,3.134
2010-2015,Quintile inférieur,,Saskatchewan,Dépenses des ménages par habitant,47,3.609
2010-2015,Deuxième quintile,,Saskatchewan,Dépenses des ménages par habitant,47,1.88
2010-2015,Tous les quintiles,,Alberta,Dépenses des ménages par habitant,48,1.706
2010-2015,Quintile inférieur,,Alberta,Dépenses des ménages par habitant,48,1.609
2010-2015,Deuxième quintile,,Alberta,Dépenses des ménages par habitant,48,0.986
2010-2015,Tous les quintiles,,Colombie-Britannique,Dépenses des ménages par habitant,59,0.757
2010-2015,Quintile inférieur,,Colombie-Britannique,Dépenses des ménages par habitant,59,0.601
2010-2015,Deuxième quintile,,Colombie-Britannique,Dépenses des ménages par habitant,59,-0.102
2011-2016,Tous les quintiles,,Canada,Dépenses des ménages par habitant,,1.376
2011-2016,Quintile inférieur,,Canada,Dépenses des ménages par habitant,,1.246
2011-2016,Deuxième quintile,,Canada,Dépenses des ménages par habitant,,0.483
2011-2016,Tous les quintiles,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,2.744
2011-2016,Quintile inférieur,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,4.043
2011-2016,Deuxième quintile,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,1.415
2011-2016,Tous les quintiles,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,1.556
2011-2016,Quintile inférieur,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,-1.539
2011-2016,Deuxième quintile,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,4.658
2011-2016,Tous les quintiles,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,1.672
2011-2016,Quintile inférieur,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,3.022
2011-2016,Deuxième quintile,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,2.392
2011-2016,Tous les quintiles,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,0.791
2011-2016,Quintile inférieur,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,-0.55
2011-2016,Deuxième quintile,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,0.837
2011-2016,Tous les quintiles,,Québec,Dépenses des ménages par habitant,24,0.76
2011-2016,Quintile inférieur,,Québec,Dépenses des ménages par habitant,24,-0.175
2011-2016,Deuxième quintile,,Québec,Dépenses des ménages par habitant,24,0.632
2011-2016,Tous les quintiles,,Ontario,Dépenses des ménages par habitant,35,2.008
2011-2016,Quintile inférieur,,Ontario,Dépenses des ménages par habitant,35,2.427
2011-2016,Deuxième quintile,,Ontario,Dépenses des ménages par habitant,35,2.207
2011-2016,Tous les quintiles,,Manitoba,Dépenses des ménages par habitant,46,1.125
2011-2016,Quintile inférieur,,Manitoba,Dépenses des ménages par habitant,46,0.954
2011-2016,Deuxième quintile,,Manitoba,Dépenses des ménages par habitant,46,0.094
2011-2016,Tous les quintiles,,Saskatchewan,Dépenses des ménages par habitant,47,2.877
2011-2016,Quintile inférieur,,Saskatchewan,Dépenses des ménages par habitant,47,6.696
2011-2016,Deuxième quintile,,Saskatchewan,Dépenses des ménages par habitant,47,2.955
2011-2016,Tous les quintiles,,Alberta,Dépenses des ménages par habitant,48,0.408
2011-2016,Quintile inférieur,,Alberta,Dépenses des ménages par habitant,48,-1.816
2011-2016,Deuxième quintile,,Alberta,Dépenses des ménages par habitant,48,-0.993
2011-2016,Tous les quintiles,,Colombie-Britannique,Dépenses des ménages par habitant,59,0.715
2011-2016,Quintile inférieur,,Colombie-Britannique,Dépenses des ménages par habitant,59,-1.253
2011-2016,Deuxième quintile,,Colombie-Britannique,Dépenses des ménages par habitant,59,-0.382
2012-2017,Tous les quintiles,,Canada,Dépenses des ménages par habitant,,1.519
2012-2017,Quintile inférieur,,Canada,Dépenses des ménages par habitant,,2.029
2012-2017,Deuxième quintile,,Canada,Dépenses des ménages par habitant,,2.442
2012-2017,Tous les quintiles,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,1.529
2012-2017,Quintile inférieur,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,4.475
2012-2017,Deuxième quintile,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,2.789
2012-2017,Tous les quintiles,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,0.087
2012-2017,Quintile inférieur,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,5.237
2012-2017,Deuxième quintile,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,0.342
2012-2017,Tous les quintiles,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,0.76
2012-2017,Quintile inférieur,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,0.641
2012-2017,Deuxième quintile,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,-1.549
2012-2017,Tous les quintiles,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,0.879
2012-2017,Quintile inférieur,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,-0.079
2012-2017,Deuxième quintile,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,-0.279
2012-2017,Tous les quintiles,,Québec,Dépenses des ménages par habitant,24,1.624
2012-2017,Quintile inférieur,,Québec,Dépenses des ménages par habitant,24,2.856
2012-2017,Deuxième quintile,,Québec,Dépenses des ménages par habitant,24,1.72
2012-2017,Tous les quintiles,,Ontario,Dépenses des ménages par habitant,35,1.896
2012-2017,Quintile inférieur,,Ontario,Dépenses des ménages par habitant,35,2.173
2012-2017,Deuxième quintile,,Ontario,Dépenses des ménages par habitant,35,3.265
2012-2017,Tous les quintiles,,Manitoba,Dépenses des ménages par habitant,46,1.905
2012-2017,Quintile inférieur,,Manitoba,Dépenses des ménages par habitant,46,1.962
2012-2017,Deuxième quintile,,Manitoba,Dépenses des ménages par habitant,46,2.225
2012-2017,Tous les quintiles,,Saskatchewan,Dépenses des ménages par habitant,47,2.495
2012-2017,Quintile inférieur,,Saskatchewan,Dépenses des ménages par habitant,47,3.777
2012-2017,Deuxième quintile,,Saskatchewan,Dépenses des ménages par habitant,47,3.513
2012-2017,Tous les quintiles,,Alberta,Dépenses des ménages par habitant,48,-0.872
2012-2017,Quintile inférieur,,Alberta,Dépenses des ménages par habitant,48,-0.797
2012-2017,Deuxième quintile,,Alberta,Dépenses des ménages par habitant,48,-0.04
2012-2017,Tous les quintiles,,Colombie-Britannique,Dépenses des ménages par habitant,59,2.111
2012-2017,Quintile inférieur,,Colombie-Britannique,Dépenses des ménages par habitant,59,2.853
2012-2017,Deuxième quintile,,Colombie-Britannique,Dépenses des ménages par habitant,59,2.77
2013-2018,Tous les quintiles,,Canada,Dépenses des ménages par habitant,,
2013-2018,Quintile inférieur,,Canada,Dépenses des ménages par habitant,,
2013-2018,Deuxième quintile,,Canada,Dépenses des ménages par habitant,,
2013-2018,Tous les quintiles,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,
2013-2018,Quintile inférieur,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,
2013-2018,Deuxième quintile,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,
2013-2018,Tous les quintiles,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,
2013-2018,Quintile inférieur,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,
2013-2018,Deuxième quintile,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,
2013-2018,Tous les quintiles,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,
2013-2018,Quintile inférieur,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,
2013-2018,Deuxième quintile,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,
2013-2018,Tous les quintiles,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,
2013-2018,Quintile inférieur,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,
2013-2018,Deuxième quintile,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,
2013-2018,Tous les quintiles,,Québec,Dépenses des ménages par habitant,24,
2013-2018,Quintile inférieur,,Québec,Dépenses des ménages par habitant,24,
2013-2018,Deuxième quintile,,Québec,Dépenses des ménages par habitant,24,
2013-2018,Tous les quintiles,,Ontario,Dépenses des ménages par habitant,35,
2013-2018,Quintile inférieur,,Ontario,Dépenses des ménages par habitant,35,
2013-2018,Deuxième quintile,,Ontario,Dépenses des ménages par habitant,35,
2013-2018,Tous les quintiles,,Manitoba,Dépenses des ménages par habitant,46,
2013-2018,Quintile inférieur,,Manitoba,Dépenses des ménages par habitant,46,
2013-2018,Deuxième quintile,,Manitoba,Dépenses des ménages par habitant,46,
2013-2018,Tous les quintiles,,Saskatchewan,Dépenses des ménages par habitant,47,
2013-2018,Quintile inférieur,,Saskatchewan,Dépenses des ménages par habitant,47,
2013-2018,Deuxième quintile,,Saskatchewan,Dépenses des ménages par habitant,47,
2013-2018,Tous les quintiles,,Alberta,Dépenses des ménages par habitant,48,
2013-2018,Quintile inférieur,,Alberta,Dépenses des ménages par habitant,48,
2013-2018,Deuxième quintile,,Alberta,Dépenses des ménages par habitant,48,
2013-2018,Tous les quintiles,,Colombie-Britannique,Dépenses des ménages par habitant,59,
2013-2018,Quintile inférieur,,Colombie-Britannique,Dépenses des ménages par habitant,59,
2013-2018,Deuxième quintile,,Colombie-Britannique,Dépenses des ménages par habitant,59,
2014-2019,Tous les quintiles,,Canada,Dépenses des ménages par habitant,,1.929
2014-2019,Quintile inférieur,,Canada,Dépenses des ménages par habitant,,1.97
2014-2019,Deuxième quintile,,Canada,Dépenses des ménages par habitant,,1.924
2014-2019,Tous les quintiles,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,0.374
2014-2019,Quintile inférieur,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,2.86
2014-2019,Deuxième quintile,,Terre-Neuve-et-Labrador,Dépenses des ménages par habitant,10,0.665
2014-2019,Tous les quintiles,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,0.296
2014-2019,Quintile inférieur,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,-2.429
2014-2019,Deuxième quintile,,Île-du-Prince-Édouard,Dépenses des ménages par habitant,11,1.354
2014-2019,Tous les quintiles,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,1.963
2014-2019,Quintile inférieur,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,2.436
2014-2019,Deuxième quintile,,Nouvelle-Écosse,Dépenses des ménages par habitant,12,2.133
2014-2019,Tous les quintiles,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,1.881
2014-2019,Quintile inférieur,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,2.338
2014-2019,Deuxième quintile,,Nouveau-Brunswick,Dépenses des ménages par habitant,13,0.815
2014-2019,Tous les quintiles,,Québec,Dépenses des ménages par habitant,24,1.991
2014-2019,Quintile inférieur,,Québec,Dépenses des ménages par habitant,24,1.493
2014-2019,Deuxième quintile,,Québec,Dépenses des ménages par habitant,24,1.0
2014-2019,Tous les quintiles,,Ontario,Dépenses des ménages par habitant,35,1.724
2014-2019,Quintile inférieur,,Ontario,Dépenses des ménages par habitant,35,0.152
2014-2019,Deuxième quintile,,Ontario,Dépenses des ménages par habitant,35,3.89
2014-2019,Tous les quintiles,,Manitoba,Dépenses des ménages par habitant,46,1.696
2014-2019,Quintile inférieur,,Manitoba,Dépenses des ménages par habitant,46,1.64
2014-2019,Deuxième quintile,,Manitoba,Dépenses des ménages par habitant,46,2.344
2014-2019,Tous les quintiles,,Saskatchewan,Dépenses des ménages par habitant,47,1.807
2014-2019,Quintile inférieur,,Saskatchewan,Dépenses des ménages par habitant,47,-0.115
2014-2019,Deuxième quintile,,Saskatchewan,Dépenses des ménages par habitant,47,-0.841
2014-2019,Tous les quintiles,,Alberta,Dépenses des ménages par habitant,48,0.995
2014-2019,Quintile inférieur,,Alberta,Dépenses des ménages par habitant,48,1.282
2014-2019,Deuxième quintile,,Alberta,Dépenses des ménages par habitant,48,-0.317
2014-2019,Tous les quintiles,,Colombie-Britannique,Dépenses des ménages par habitant,59,3.242
2014-2019,Quintile inférieur,,Colombie-Britannique,Dépenses des ménages par habitant,59,4.735
2014-2019,Deuxième quintile,,Colombie-Britannique,Dépenses des ménages par habitant,59,4.796
2015-2020,Tous les quintiles,,Canada,Dépenses des ménages par habitant,,
2015-2020,Quintile inférieur,,Canada,Dépenses des ménages par habitant,,
2015-2020,Deuxième quintile,,Canada,Dépenses des ménages par habitant,,
